dataset,id,mom_id,origin_site,urb_cat,sex,age,round,treat,x_treat,enclo,svl,forearm,hindlimb,foot
cross_foster,7243,LN009,LN,n,J,11,1,U,nU,U2,50.5,16.5,24.91,20.19
cross_foster,7243,LN009,LN,n,J,66,2,U,nU,U2,76,22.99,37.55,28.73
cross_foster,7243,LN009,LN,n,J,127,3,U,nU,U2,82,24.84,40.89,33.56
cross_foster,7243,LN009,LN,n,J,241,4,U,nU,U2,82,25.67,40.95,30.3
cross_foster,7243,LN009,LN,n,J,315,5,U,nU,U2,90,27.63,43.82,33.64
cross_foster,7243,LN009,LN,n,J,374,6,U,nU,U2,94,28.85,45.91,33.86
cross_foster,7249,LN007,LN,n,J,10,1,U,nU,U2,48.5,14.06,24.55,18.58
cross_foster,7251,LN007,LN,n,J,9,1,U,nU,U3,51,15.59,25.53,20.29
cross_foster,7251,LN007,LN,n,J,64,2,U,nU,U3,67,19.07,33.63,27.31
cross_foster,7251,LN007,LN,n,J,125,3,U,nU,U3,74.5,21.62,38.03,28.63
cross_foster,7251,LN007,LN,n,J,239,4,U,nU,U3,73,22.71,36.5,29.58
cross_foster,7251,LN007,LN,n,J,313,5,U,nU,U3,80,25.71,40.13,31.03
cross_foster,7251,LN007,LN,n,J,372,6,U,nU,U3,83,24.7,40.85,32.9
cross_foster,7252,LN008,LN,n,J,6,1,N,nN,N2,50.5,18.15,25.8,19.42
cross_foster,7252,LN008,LN,n,J,61,2,N,nN,N2,70,20.63,34.07,27.01
cross_foster,7252,LN008,LN,n,J,236,4,N,nN,N2,73,21.35,35.37,27.23
cross_foster,7252,LN008,LN,n,J,310,5,N,nN,N2,87,25.25,41.5,32.11
cross_foster,7252,LN008,LN,n,J,369,6,N,nN,N2,94,26.8,45.51,33.61
cross_foster,7255,LN017,LN,n,J,10,1,N,nN,N3,45,15.46,23.33,18.64
cross_foster,7257,LN007,LN,n,J,8,1,N,nN,N3,51,15.58,25.23,20.36
cross_foster,7257,LN007,LN,n,J,63,2,N,nN,N3,75,23.23,35.76,29.34
cross_foster,7257,LN007,LN,n,J,124,3,N,nN,N3,81,23.46,39.95,30.68
cross_foster,7257,LN007,LN,n,J,238,4,N,nN,N3,79,24.18,40.12,31.61
cross_foster,7257,LN007,LN,n,J,312,5,N,nN,N3,94,26.6,46.09,35.99
cross_foster,7257,LN007,LN,n,J,371,6,N,nN,N3,99,28.65,49.02,35.76
cross_foster,7265,LN009,LN,n,J,11,1,N,nN,N1,50,15.1,24.78,21.03
cross_foster,7265,LN009,LN,n,J,66,2,N,nN,N1,69,20.83,33.73,25.77
cross_foster,7265,LN009,LN,n,J,127,3,N,nN,N1,75,23.16,37.29,28.53
cross_foster,7265,LN009,LN,n,J,241,4,N,nN,N1,77.5,23.96,37.48,28.19
cross_foster,7265,LN009,LN,n,J,315,5,N,nN,N1,87,27.65,42.3,31.99
cross_foster,7265,LN009,LN,n,J,374,6,N,nN,N1,96,28.04,47.07,34.75
cross_foster,7266,LN007,LN,n,J,9,1,N,nN,N2,50.5,13.97,26.22,20.48
cross_foster,7266,LN007,LN,n,J,64,2,N,nN,N2,73,21.02,36.31,28.44
cross_foster,7266,LN007,LN,n,J,239,4,N,nN,N2,80,24.26,39.54,30.8
cross_foster,7266,LN007,LN,n,J,313,5,N,nN,N2,90,27.22,43.61,33.97
cross_foster,7266,LN007,LN,n,J,372,6,N,nN,N2,107,31.99,51.06,38.11
